날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2020-01-25,23.339,40.258,26.737,34.668,53.006,81.156,72.766,86.362,91.265,101.998,85.713,92.686,84.993,85.807,83.375,83.004,77.751,69.396,65.22,44.363,47.092,76.599,72.139,67.05
2020-01-26,60.02,47.815,51.319,63.407,60.589,51.786,69.234,70.618,69.027,82.861,99.814,93.502,128.046,99.268,117.488,162.54,178.514,183.008,201.641,215.724,209.712,201.115,210.843,209.229
2020-01-27,204.364,209.743,206.41,211.132,210.312,208.912,204.982,204.944,211.212,210.239,207.096,207.274,214.984,216.52,209.195,179.577,149.796,155.205,144.186,91.258,77.362,71.464,70.156,70.713
2020-01-28,56.831,46.655,36.14,29.408,27.242,42.218,47.225,32.68,29.319,24.629,19.125,34.958,46.42,34.335,29.742,31.677,41.532,38.567,47.956,61.067,78.212,74.505,65.526,74.131
2020-01-29,96.138,111.332,116.401,115.375,128.964,107.652,95.465,92.089,79.609,57.907,83.532,97.107,108.403,119.531,137.915,143.631,154.018,162.788,133.568,136.706,135.488,106.693,124.609,116.472
2020-01-30,116.665,145.563,165.361,171.003,164.947,165.28,134.02,146.061,166.189,168.908,161.425,170.321,160.257,180.114,198.106,203.521,193.789,179.591,157.617,130.623,121.124,122.152,133.643,135.877
2020-01-31,122.766,103.449,98.314,98.857,102.878,83.867,81.433,56.658,63.958,84.611,93.342,101.092,115.07,138.232,138.798,151.943,170.531,146.72,121.821,109.46,104.26,102.078,95.631,73.231
2020-02-01,88.92,111.599,142.949,144.782,103.199,86.304,81.716,76.213,70.452,73.934,78.197,100.378,116.345,104.495,89.412,86.565,83.541,65.145,63.216,70.205,51.873,41.199,50.693,48.3
2020-02-02,55.645,51.999,58.233,58.917,57.992,58.524,39.741,36.554,49.364,43.768,32.075,22.699,39.28,58.724,67.344,57.942,52.14,38.929,37.59,58.785,66.068,52.364,62.424,90.127
2020-02-03,94.435,62.353,45.036,53.98,48.569,45.013,40.352,45.948,49.202,65.475,97.108,70.981,66.305,90.512,131.183,133.066,163.976,141.219,129.838,117.435,92.571,88.158,70.707,52.456
2020-02-04,76.667,77.417,73.074,79.042,77.864,78.999,76.531,77.663,69.101,83.379,73.545,78.501,91.419,62.182,42.417,39.338,29.042,39.604,60.146,62.198,70.921,76.843,67.61,71.553
2020-02-05,71.282,64.368,75.747,77.03,174.766,168.848,171.702,174.433,191.376,198.252,200.419,205.22,186.997,179.497,188.58,207.352,207.28,204.574,193.029,192.025,191.432,174.19,169.809,164.416
2020-02-06,169.5,158.341,145.11,165.044,154.792,167.636,152.633,142.887,134.226,144.069,129.045,127.769,107.576,89.858,76.516,75.862,69.971,53.287,47.211,30.681,13.505,9.165,9.141,2.031
2020-02-07,1.578,0.996,1.221,1.348,1.214,2.414,8.893,15.977,29.235,46.394,63.721,92.149,113.41,119.26,127.507,141.23,125.489,128.469,172.806,198.564,202.813,192.273,178.673,178.393
2020-02-08,197.048,200.336,204.064,214.705,206.186,192.995,180.718,175.092,187.679,188.466,194.849,206.625,223.183,209.104,212.893,215.073,212.086,212.728,208.668,203.493,202.045,193.811,187.226,181.265
2020-02-09,180.829,185.781,154.529,135.782,114.346,89.649,90.323,68.558,60.585,53.708,62.36,71.819,81.189,112.595,143.195,141.511,165.942,151.544,137.509,152.101,170.39,169.905,126.391,71.65
2020-02-10,64.192,65.663,76.883,101.089,116.259,96.103,95.087,89.714,87.187,72.934,55.978,47.169,51.087,55.479,61.96,63.399,62.266,53.848,40.052,36.479,37.207,26.92,22.081,18.474
2020-02-11,19.755,20.274,12.651,8.24,3.503,2.174,1.519,1.6,2.898,3.25,8.589,14.898,24.336,16.468,20.71,22.665,24.418,21.96,19.294,17.007,33.281,60.865,75.856,70.671
2020-02-12,79.294,102.612,133.727,118.855,177.52,180.085,143.749,143.74,111.649,93.091,63.935,40.264,30.189,56.608,55.216,39.661,62.03,80.39,74.565,77.357,78.444,81.829,84.108,91.007
2020-02-13,98.778,70.557,50.963,52.214,34.819,21.245,20.918,11.53,4.212,2.264,1.73,1.085,2.199,1.854,1.093,0.844,0.866,0.876,0.552,0.528,0.864,0.957,0.919,1.919
2020-02-14,2.207,1.451,2.162,4.738,5.336,6.105,3.123,7.497,7.352,1.127,0.989,1.017,1.126,2.585,1.298,3.816,3.863,4.06,4.771,7.675,5.376,4.339,3.038,1.687
2020-02-15,3.644,9.182,17.532,19.872,14.4,37.809,25.264,29.977,33.245,27.023,49.257,48.291,40.579,33.628,24.127,25.007,20.283,16.211,17.691,28.646,24.444,30.479,27.645,59.181
2020-02-16,83.703,168.416,218.008,211.954,203.577,203.242,201.05,199.341,194.51,189.143,182.082,188.099,195.282,192.753,192.973,181.503,187.014,174.086,172.832,179.56,178.697,174.449,155.652,152.914
2020-02-17,176.002,177.999,176.519,173.31,178.059,184.766,183.005,198.384,187.085,197.109,201.777,193.189,210.957,174.176,180.775,194.507,186.443,193.164,175.761,189.472,189.307,161.989,160.794,202.741
2020-02-18,216.831,210.334,202.52,201.183,180.143,177.714,187.057,186.142,184.744,198.666,202.372,203.959,200.142,147.102,142.834,159.54,180.026,158.312,134.117,110.096,101.31,109.193,121.377,142.77
2020-02-19,105.028,74.612,76.549,96.359,93.99,73.155,63.218,59.372,46.95,49.571,43.94,33.21,19.55,11.116,9.494,7.269,5.962,8.127,15.565,24.219,23.576,23.088,19.587,13.483
2020-02-20,6.461,8.184,10.655,26.925,42.753,52.965,42.097,48.891,37.882,25.68,13.529,13.97,18.159,22.518,16.583,17.406,15.438,9.969,2.179,2.3,1.663,1.437,8.366,13.407
2020-02-21,16.098,12.405,18.127,25.021,22.519,26.349,37.673,39.098,22.135,25.773,49.261,52.953,37.706,72.449,49.775,41.495,20.971,13.312,16.964,25.608,31.426,52.223,69.341,109.148
2020-02-22,111.315,129.436,172.171,183.972,165.15,178.627,187.117,201.202,162.829,131.479,94.435,58.694,43.085,35.343,59.558,111.033,91.999,97.709,133.943,147.049,138.841,126.989,125.728,123.562
2020-02-23,125.509,118.558,122.409,110.786,106.949,118.489,109.763,99.254,81.285,53.335,25.067,6.125,9.578,11.671,10.796,6.673,5.43,4.597,5.455,8.67,9.237,2.48,1.577,7.02
2020-02-24,10.737,10.797,15.734,21.447,22.611,32.818,30.823,48.248,50.96,36.928,51.701,76.733,80.617,82.177,76.615,66.894,64.831,68.15,58.124,77.07,117.548,108.872,127.682,141.549
2020-02-25,153.13,158.257,166.835,144.076,101.026,90.938,91.141,117.748,115.592,156.887,168.665,177.806,162.127,141.855,87.319,44.686,10.56,25.289,41.395,58.187,74.751,89.705,100.789,94.004
2020-02-26,100.458,105.35,83.119,49.51,34.214,37.008,37.693,31.336,26.8,34.231,41.404,34.009,24.967,20.127,23.533,40.753,69.999,69.378,87.701,150.799,150.593,113.986,115.906,102.717
2020-02-27,105.607,105.314,120.874,136.539,155.215,180.111,176.197,150.271,83.345,47.37,41.61,41.71,37.711,51.69,54.565,50.422,40.609,30.982,26.63,30.634,33.39,32.098,26.679,38.469
2020-02-28,38.333,29.583,33.305,36.117,34.386,44.563,44.538,52.65,63.415,55.98,63.861,41.575,49.064,33.39,52.739,23.097,22.999,19.448,17.787,37.522,29.391,18.737,24.63,41.263
2020-02-29,48.372,44.561,30.651,22.407,25.07,22.808,31.238,32.692,28.837,30.848,26.736,17.859,30.02,33.375,29.136,15.007,13.097,8.042,12.803,16.175,16.416,12.784,16.539,16.187
2020-03-01,13.071,14.611,13.809,15.874,15.849,13.619,15.949,29.16,41.021,27.243,37.428,36.326,19.887,14.218,21.377,44.306,47.56,49.773,78.097,149.503,180.774,196.448,208.057,205.113
2020-03-02,226.354,231.713,233.845,227.434,222.485,202.737,216.95,233.12,217.454,164.059,140.028,85.534,46.762,34.228,55.911,90.291,157.421,164.139,150.485,119.798,91.415,56.617,34.233,12.847
2020-03-03,3.923,2.366,3.651,3.523,1.322,1.406,2.673,1.389,1.087,1.702,11.224,26.179,29.765,30.409,24.672,18.361,25.848,22.585,10.693,16.523,28.549,33.024,29.471,25.775
2020-03-04,31.675,66.84,70.722,91.65,153.849,188.232,206.888,208.198,207.832,199.284,184.772,141.599,113.685,85.912,119.291,164.47,180.482,233.753,244.907,230.914,226.179,226.754,227.275,226.621
2020-03-05,227.124,218.199,206.819,191.317,174.223,160.101,152.477,154.795,154.136,165.852,157.375,124.385,89.792,71.149,71.241,108.077,148.411,125.206,84.236,77.826,74.232,72.61,57.984,45.857
2020-03-06,45.401,46.641,39.374,24.89,13.29,11.029,12.653,13.887,5.839,6.412,5.628,5.138,7.023,7.111,5.57,5.337,9.59,6.781,6.78,10.742,14.878,17.527,26.328,21.778
2020-03-07,21.403,20.879,20.067,17.644,16.502,7.361,2.371,4.763,11.009,7.735,7.223,13.635,13.288,16.517,27.441,37.188,52.723,86.714,103.022,111.638,105.661,85.216,69.275,53.253
2020-03-08,42.236,44.011,59.082,79.23,78.104,58.239,46.357,31.83,15.363,17.622,21.5,19.884,21.554,24.961,18.849,15.671,10.908,8.884,9.218,8.839,9.773,20.699,19.566,14.95
2020-03-09,29.212,31.216,31.324,35.79,29.259,24.342,21.139,20.623,27.721,17.988,16.885,33.897,32.104,25.25,12.267,13.669,21.734,38.876,76.944,95.806,148.104,131.005,158.769,166.399
2020-03-10,131.176,125.626,119.822,117.872,136.753,163.339,195.384,203.217,219.629,236.001,238.382,233.17,221.297,235.756,238.072,241.177,239.995,236.308,243.155,244.284,245.467,221.133,210.541,223.685
2020-03-11,228.409,223.785,205.289,190.279,183.656,191.706,184.9,195.266,215.586,188.523,145.358,97.939,81.417,77.237,74.664,85.883,117.29,184.525,165.452,151.941,104.167,75.336,65.898,63.02
2020-03-12,38.308,44.739,28.782,13.125,9.376,5.57,5.351,4.31,4.599,12.092,4.439,9.319,19.249,25.278,26.809,19.375,15.531,17.796,16.383,23.227,27.262,44.358,25.735,17.509
2020-03-13,7.784,9.98,4.528,3.498,5.939,7.917,4.801,9.267,10.772,41.652,100.751,94.336,65.701,51.313,61.116,79.445,86.427,171.612,147.316,177.311,180.436,199.713,208.521,223.872
2020-03-14,240.713,228.772,233.794,225.341,220.663,208.628,196.8,212.012,206.643,187.47,172.016,111.612,56.168,43.045,50.743,77.502,155.082,154.136,117.217,86.064,73.436,81.015,106.208,119.931
2020-03-15,131.715,128.195,127.886,125.534,133.979,135.355,128.411,111.701,93.504,102.52,96.086,65.091,56.008,61.575,66.405,87.142,162.744,184.78,163.689,179.38,209.214,223.312,210.826,177.002
2020-03-16,155.847,171.239,174.474,187.681,198.896,164.104,132.884,92.475,83.333,55.401,25.967,9.723,9.912,5.95,4.969,5.562,3.189,1.491,1.765,6.273,8.6,11.557,10.849,11.901
2020-03-17,9.318,17.943,11.058,9.596,6.156,6.903,7.699,6.234,11.64,20.528,24.357,27.26,43.431,59.546,60.537,68.079,82.72,68.669,42.33,20.618,25.406,33.492,33.252,24.059
